Total Nacional;Comunidades y Ciudades Autónomas;Producto consumido;año;Total
Total Nacional;;Electricidad;2022;14.319.055
Total Nacional;;Electricidad;2021;8.892.228
Total Nacional;;Electricidad;2019;6.367.976
Total Nacional;;Electricidad;2017;6.227.459
Total Nacional;;Electricidad;2015;6.177.084
Total Nacional;;Gas;2022;7.680.920
Total Nacional;;Gas;2021;3.817.158
Total Nacional;;Gas;2019;3.371.337
Total Nacional;;Gas;2017;2.981.674
Total Nacional;;Gas;2015;3.445.307
Total Nacional;;Gasóleo;2022;748.347
Total Nacional;;Gasóleo;2021;592.139
Total Nacional;;Gasóleo;2019;678.354
Total Nacional;;Gasóleo;2017;587.170
Total Nacional;;Gasóleo;2015;580.488
Total Nacional;;Fueloil;2022;104.831
Total Nacional;;Fueloil;2021;72.771
Total Nacional;;Fueloil;2019;99.137
Total Nacional;;Fueloil;2017;85.978
Total Nacional;;Fueloil;2015;102.731
Total Nacional;;Otros productos petrolíferos;2022;298.979
Total Nacional;;Otros productos petrolíferos;2021;82.206
Total Nacional;;Otros productos petrolíferos;2019;99.862
Total Nacional;;Otros productos petrolíferos;2017;106.862
Total Nacional;;Otros productos petrolíferos;2015;70.418
Total Nacional;;Carbón y coque;2022;63.928
Total Nacional;;Carbón y coque;2021;110.110
Total Nacional;;Carbón y coque;2019;104.630
Total Nacional;;Carbón y coque;2017;151.522
Total Nacional;;Carbón y coque;2015;151.191
Total Nacional;;Biocombustibles;2022;109.393
Total Nacional;;Biocombustibles;2021;36.055
Total Nacional;;Biocombustibles;2019;44.727
Total Nacional;;Biocombustibles;2017;27.910
Total Nacional;;Biocombustibles;2015;66.250
Total Nacional;;Calor y otros consumos energéticos;2022;1.330.020
Total Nacional;;Calor y otros consumos energéticos;2021;651.504
Total Nacional;;Calor y otros consumos energéticos;2019;460.987
Total Nacional;;Calor y otros consumos energéticos;2017;353.763
Total Nacional;;Calor y otros consumos energéticos;2015;364.029
Total Nacional;;Total consumos energéticos;2022;24.655.473
Total Nacional;;Total consumos energéticos;2021;14.254.170
Total Nacional;;Total consumos energéticos;2019;11.227.010
Total Nacional;;Total consumos energéticos;2017;10.522.338
Total Nacional;;Total consumos energéticos;2015;10.957.497
Total Nacional;01 Andalucía;Electricidad;2022;1.653.989
Total Nacional;01 Andalucía;Electricidad;2021;941.599
Total Nacional;01 Andalucía;Electricidad;2019;637.486
Total Nacional;01 Andalucía;Electricidad;2017;603.104
Total Nacional;01 Andalucía;Electricidad;2015;572.742
Total Nacional;01 Andalucía;Gas;2022;830.160
Total Nacional;01 Andalucía;Gas;2021;448.222
Total Nacional;01 Andalucía;Gas;2019;407.682
Total Nacional;01 Andalucía;Gas;2017;351.460
Total Nacional;01 Andalucía;Gas;2015;385.367
Total Nacional;01 Andalucía;Gasóleo;2022;98.434
Total Nacional;01 Andalucía;Gasóleo;2021;83.666
Total Nacional;01 Andalucía;Gasóleo;2019;87.652
Total Nacional;01 Andalucía;Gasóleo;2017;71.308
Total Nacional;01 Andalucía;Gasóleo;2015;60.586
Total Nacional;01 Andalucía;Fueloil;2022;10.270
Total Nacional;01 Andalucía;Fueloil;2021;5.589
Total Nacional;01 Andalucía;Fueloil;2019;9.839
Total Nacional;01 Andalucía;Fueloil;2017;9.707
Total Nacional;01 Andalucía;Fueloil;2015;5.908
Total Nacional;01 Andalucía;Otros productos petrolíferos;2022;35.049
Total Nacional;01 Andalucía;Otros productos petrolíferos;2021;10.508
Total Nacional;01 Andalucía;Otros productos petrolíferos;2019;29.004
Total Nacional;01 Andalucía;Otros productos petrolíferos;2017;29.756
Total Nacional;01 Andalucía;Otros productos petrolíferos;2015;7.856
Total Nacional;01 Andalucía;Carbón y coque;2022;2.925
Total Nacional;01 Andalucía;Carbón y coque;2021;5.605
Total Nacional;01 Andalucía;Carbón y coque;2019;7.733
Total Nacional;01 Andalucía;Carbón y coque;2017;21.324
