Actividad principal (CNAE-2009 a 1, 2 y 3 dígitos);Producto consumido;año;Total
Total industria extractiva y manufacturera;Electricidad;2022;14.319.055
Total industria extractiva y manufacturera;Electricidad;2021;8.892.228
Total industria extractiva y manufacturera;Electricidad;2019;6.367.976
Total industria extractiva y manufacturera;Electricidad;2017;6.227.459
Total industria extractiva y manufacturera;Electricidad;2015;6.177.084
Total industria extractiva y manufacturera;Gas;2022;7.680.920
Total industria extractiva y manufacturera;Gas;2021;3.817.158
Total industria extractiva y manufacturera;Gas;2019;3.371.337
Total industria extractiva y manufacturera;Gas;2017;2.981.674
Total industria extractiva y manufacturera;Gas;2015;3.445.307
Total industria extractiva y manufacturera;Gasóleo;2022;748.347
Total industria extractiva y manufacturera;Gasóleo;2021;592.139
Total industria extractiva y manufacturera;Gasóleo;2019;678.354
Total industria extractiva y manufacturera;Gasóleo;2017;587.170
Total industria extractiva y manufacturera;Gasóleo;2015;580.488
Total industria extractiva y manufacturera;Fueloil;2022;104.831
Total industria extractiva y manufacturera;Fueloil;2021;72.771
Total industria extractiva y manufacturera;Fueloil;2019;99.137
Total industria extractiva y manufacturera;Fueloil;2017;85.978
Total industria extractiva y manufacturera;Fueloil;2015;102.731
Total industria extractiva y manufacturera;Otros productos petrolíferos;2022;298.979
Total industria extractiva y manufacturera;Otros productos petrolíferos;2021;82.206
Total industria extractiva y manufacturera;Otros productos petrolíferos;2019;99.862
Total industria extractiva y manufacturera;Otros productos petrolíferos;2017;106.862
Total industria extractiva y manufacturera;Otros productos petrolíferos;2015;70.418
Total industria extractiva y manufacturera;Carbón y coque;2022;63.928
Total industria extractiva y manufacturera;Carbón y coque;2021;110.110
Total industria extractiva y manufacturera;Carbón y coque;2019;104.630
Total industria extractiva y manufacturera;Carbón y coque;2017;151.522
Total industria extractiva y manufacturera;Carbón y coque;2015;151.191
Total industria extractiva y manufacturera;Biocombustibles;2022;109.393
Total industria extractiva y manufacturera;Biocombustibles;2021;36.055
Total industria extractiva y manufacturera;Biocombustibles;2019;44.727
Total industria extractiva y manufacturera;Biocombustibles;2017;27.910
Total industria extractiva y manufacturera;Biocombustibles;2015;66.250
Total industria extractiva y manufacturera;Calor y otros consumos energéticos;2022;1.330.020
Total industria extractiva y manufacturera;Calor y otros consumos energéticos;2021;651.504
Total industria extractiva y manufacturera;Calor y otros consumos energéticos;2019;460.987
Total industria extractiva y manufacturera;Calor y otros consumos energéticos;2017;353.763
Total industria extractiva y manufacturera;Calor y otros consumos energéticos;2015;364.029
Total industria extractiva y manufacturera;Total consumos energéticos;2022;24.655.473
Total industria extractiva y manufacturera;Total consumos energéticos;2021;14.254.170
Total industria extractiva y manufacturera;Total consumos energéticos;2019;11.227.010
Total industria extractiva y manufacturera;Total consumos energéticos;2017;10.522.338
Total industria extractiva y manufacturera;Total consumos energéticos;2015;10.957.497
B Industrias extractivas;Electricidad;2022;340.183
B Industrias extractivas;Electricidad;2021;170.761
B Industrias extractivas;Electricidad;2019;133.098
B Industrias extractivas;Electricidad;2017;119.484
B Industrias extractivas;Electricidad;2015;113.812
B Industrias extractivas;Gas;2022;111.448
B Industrias extractivas;Gas;2021;73.670
B Industrias extractivas;Gas;2019;29.145
B Industrias extractivas;Gas;2017;31.896
B Industrias extractivas;Gas;2015;38.731
B Industrias extractivas;Gasóleo;2022;91.842
B Industrias extractivas;Gasóleo;2021;78.138
B Industrias extractivas;Gasóleo;2019;77.564
B Industrias extractivas;Gasóleo;2017;78.123
B Industrias extractivas;Gasóleo;2015;75.759
B Industrias extractivas;Fueloil;2022;2.075
B Industrias extractivas;Fueloil;2021;3.008
B Industrias extractivas;Fueloil;2019;3.663
B Industrias extractivas;Fueloil;2017;1.408
B Industrias extractivas;Fueloil;2015;801
B Industrias extractivas;Otros productos petrolíferos;2022;9.882
B Industrias extractivas;Otros productos petrolíferos;2021;3.016
B Industrias extractivas;Otros productos petrolíferos;2019;5.012
B Industrias extractivas;Otros productos petrolíferos;2017;1.836
B Industrias extractivas;Otros productos petrolíferos;2015;1.009
B Industrias extractivas;Carbón y coque;2022;0
B Industrias extractivas;Carbón y coque;2021;1.634
B Industrias extractivas;Carbón y coque;2019;4.920
B Industrias extractivas;Carbón y coque;2017;6.113
B Industrias extractivas;Carbón y coque;2015;1.554
B Industrias extractivas;Biocombustibles;2022;92
B Industrias extractivas;Biocombustibles;2021;46
B Industrias extractivas;Biocombustibles;2019;0
B Industrias extractivas;Biocombustibles;2017;410
B Industrias extractivas;Biocombustibles;2015;0
B Industrias extractivas;Calor y otros consumos energéticos;2022;41.721
B Industrias extractivas;Calor y otros consumos energéticos;2021;10.013
B Industrias extractivas;Calor y otros consumos energéticos;2019;883
B Industrias extractivas;Calor y otros consumos energéticos;2017;190
B Industrias extractivas;Calor y otros consumos energéticos;2015;4.391
B Industrias extractivas;Total consumos energéticos;2022;597.242
B Industrias extractivas;Total consumos energéticos;2021;340.286
B Industrias extractivas;Total consumos energéticos;2019;254.284
B Industrias extractivas;Total consumos energéticos;2017;239.459
B Industrias extractivas;Total consumos energéticos;2015;236.058
05 Extracción de antracita, hulla y lignito;Electricidad;2022;427
05 Extracción de antracita, hulla y lignito;Electricidad;2021;33
05 Extracción de antracita, hulla y lignito;Electricidad;2019;..
05 Extracción de antracita, hulla y lignito;Electricidad;2017;9.945
05 Extracción de antracita, hulla y lignito;Electricidad;2015;14.861
05 Extracción de antracita, hulla y lignito;Gas;2022;0
05 Extracción de antracita, hulla y lignito;Gas;2021;0
05 Extracción de antracita, hulla y lignito;Gas;2019;..
05 Extracción de antracita, hulla y lignito;Gas;2017;9.069
05 Extracción de antracita, hulla y lignito;Gas;2015;9.050
05 Extracción de antracita, hulla y lignito;Gasóleo;2022;1
05 Extracción de antracita, hulla y lignito;Gasóleo;2021;120
05 Extracción de antracita, hulla y lignito;Gasóleo;2019;..
05 Extracción de antracita, hulla y lignito;Gasóleo;2017;6.554
05 Extracción de antracita, hulla y lignito;Gasóleo;2015;11.762
05 Extracción de antracita, hulla y lignito;Fueloil;2022;0
05 Extracción de antracita, hulla y lignito;Fueloil;2021;0
05 Extracción de antracita, hulla y lignito;Fueloil;2019;..
05 Extracción de antracita, hulla y lignito;Fueloil;2017;0
05 Extracción de antracita, hulla y lignito;Fueloil;2015;0
05 Extracción de antracita, hulla y lignito;Otros productos petrolíferos;2022;0
05 Extracción de antracita, hulla y lignito;Otros productos petrolíferos;2021;0
05 Extracción de antracita, hulla y lignito;Otros productos petrolíferos;2019;..
05 Extracción de antracita, hulla y lignito;Otros productos petrolíferos;2017;16
05 Extracción de antracita, hulla y lignito;Otros productos petrolíferos;2015;27
05 Extracción de antracita, hulla y lignito;Carbón y coque;2022;0
05 Extracción de antracita, hulla y lignito;Carbón y coque;2021;0
05 Extracción de antracita, hulla y lignito;Carbón y coque;2019;..
05 Extracción de antracita, hulla y lignito;Carbón y coque;2017;0
05 Extracción de antracita, hulla y lignito;Carbón y coque;2015;0
05 Extracción de antracita, hulla y lignito;Biocombustibles;2022;0
05 Extracción de antracita, hulla y lignito;Biocombustibles;2021;0
05 Extracción de antracita, hulla y lignito;Biocombustibles;2019;..
05 Extracción de antracita, hulla y lignito;Biocombustibles;2017;0
05 Extracción de antracita, hulla y lignito;Biocombustibles;2015;0
05 Extracción de antracita, hulla y lignito;Calor y otros consumos energéticos;2022;0
05 Extracción de antracita, hulla y lignito;Calor y otros consumos energéticos;2021;0
05 Extracción de antracita, hulla y lignito;Calor y otros consumos energéticos;2019;..
05 Extracción de antracita, hulla y lignito;Calor y otros consumos energéticos;2017;0
05 Extracción de antracita, hulla y lignito;Calor y otros consumos energéticos;2015;0
05 Extracción de antracita, hulla y lignito;Total consumos energéticos;2022;428
05 Extracción de antracita, hulla y lignito;Total consumos energéticos;2021;153
05 Extracción de antracita, hulla y lignito;Total consumos energéticos;2019;..
05 Extracción de antracita, hulla y lignito;Total consumos energéticos;2017;25.585
05 Extracción de antracita, hulla y lignito;Total consumos energéticos;2015;35.700
051 Extracción de antracita y hulla;Electricidad;2022;427
051 Extracción de antracita y hulla;Electricidad;2021;33
051 Extracción de antracita y hulla;Electricidad;2019;..
051 Extracción de antracita y hulla;Electricidad;2017;..
051 Extracción de antracita y hulla;Electricidad;2015;..
051 Extracción de antracita y hulla;Gas;2022;0
051 Extracción de antracita y hulla;Gas;2021;0
051 Extracción de antracita y hulla;Gas;2019;..
051 Extracción de antracita y hulla;Gas;2017;..
051 Extracción de antracita y hulla;Gas;2015;..
051 Extracción de antracita y hulla;Gasóleo;2022;1
051 Extracción de antracita y hulla;Gasóleo;2021;120
051 Extracción de antracita y hulla;Gasóleo;2019;..
051 Extracción de antracita y hulla;Gasóleo;2017;..
051 Extracción de antracita y hulla;Gasóleo;2015;..
051 Extracción de antracita y hulla;Fueloil;2022;0
051 Extracción de antracita y hulla;Fueloil;2021;0
051 Extracción de antracita y hulla;Fueloil;2019;..
051 Extracción de antracita y hulla;Fueloil;2017;..
051 Extracción de antracita y hulla;Fueloil;2015;..
051 Extracción de antracita y hulla;Otros productos petrolíferos;2022;0
051 Extracción de antracita y hulla;Otros productos petrolíferos;2021;0
051 Extracción de antracita y hulla;Otros productos petrolíferos;2019;..
051 Extracción de antracita y hulla;Otros productos petrolíferos;2017;..
051 Extracción de antracita y hulla;Otros productos petrolíferos;2015;..
051 Extracción de antracita y hulla;Carbón y coque;2022;0
051 Extracción de antracita y hulla;Carbón y coque;2021;0
